NC_013715.1 Rothia mucilaginosa DY-18, complete genome
NZ_CP017676.1 Bacillus subtilis strain VV2, complete genome
NZ_CP013898.1 Bordetella pertussis strain J161 chromosome, complete genome
NZ_CP012131.1 Bordetella pertussis strain I150 chromosome, complete genome
NZ_CP023630.1 Mycobacterium tuberculosis strain MDRMA2441 chromosome, complete genome
NZ_CP025352.1 Bordetella pertussis strain H920 chromosome, complete genome
NZ_CP019412.1 Salmonella enterica subsp. enterica serovar Koessen str. S-1501 chromosome, complete genome
NZ_CP012127.1 Escherichia coli strain DH1Ec169, complete genome
NZ_CP049957.1 Bordetella trematum strain E202 chromosome, complete genome
NC_011366.1 Rhizobium leguminosarum bv. trifolii WSM2304 plasmid pRLG202, complete sequence
NC_011368.1 Rhizobium leguminosarum bv. trifolii WSM2304 plasmid pRLG201, complete sequence
NC_011369.1 Rhizobium leguminosarum bv. trifolii WSM2304, complete sequence
NC_011370.1 Rhizobium leguminosarum bv. trifolii WSM2304 plasmid pRLG203, complete sequence
NC_011371.1 Rhizobium leguminosarum bv. trifolii WSM2304 plasmid pRLG204, complete sequence
NZ_CP013595.1 Rhizobium sp. N741 chromosome, complete genome
NZ_CP013596.1 Rhizobium sp. N741 plasmid pRspN741a, complete sequence
NZ_CP013597.1 Rhizobium sp. N741 plasmid pRspN741b, complete sequence
NZ_CP013598.1 Rhizobium sp. N741 plasmid pRspN741c, complete sequence
NZ_CP013599.1 Rhizobium sp. N741 plasmid pRspN741d, complete sequence
NZ_CP013600.1 Rhizobium sp. N741 plasmid pRspN741e, complete sequence
NZ_CP011721.1 Bordetella pertussis strain I127 chromosome, complete genome
NZ_CP026338.1 Acinetobacter baumannii strain 810CP chromosome, complete genome
NZ_CP026339.1 Acinetobacter baumannii strain 810CP plasmid pAba810CPb, complete sequence
NZ_CP026340.1 Acinetobacter baumannii strain 810CP plasmid pAba810CPa, complete sequence
NZ_CP011446.1 Bordetella pertussis strain B3658 chromosome, complete genome
NZ_CP036352.1 Phycisphaerae bacterium RAS2 chromosome, complete genome
NZ_CP008919.1 Providencia stuartii strain ATCC 33672 plasmid unnamed, complete sequence
NZ_CP008920.1 Providencia stuartii strain ATCC 33672 chromosome, complete genome
NZ_CP016274.1 Yersinia pestis strain Cadman plasmid pCD1, complete sequence
NZ_CP016275.1 Yersinia pestis strain Cadman plasmid pMT1, complete sequence
NZ_CP016276.1 Yersinia pestis strain Cadman plasmid pPCP1, complete sequence
NZ_CP040437.1 Stenotrophomonas maltophilia strain PEG-305 chromosome, complete genome
NZ_CP028205.1 Bacillus velezensis strain SRCM102741 chromosome, complete genome
NZ_CP012697.1 Microbacterium sp. No. 7, complete genome
NZ_CP012698.1 Microbacterium sp. No. 7 plasmid A, complete sequence
NZ_CP012699.1 Microbacterium sp. No. 7 plasmid B, complete sequence
NZ_CP023620.1 Mycobacterium tuberculosis strain LN1856 chromosome, complete genome
NZ_CP011716.1 Bordetella pertussis strain I088 chromosome, complete genome
NZ_CP023010.2 Elizabethkingia anophelis strain FDAARGOS_198 chromosome, complete genome
NZ_CP013884.1 Bordetella pertussis strain J093 chromosome, complete genome
NZ_CP022287.1 Bacillus subtilis strain SX01705 chromosome, complete genome
NZ_CP022288.1 Bacillus subtilis strain SX01705 plasmid pSX01705-1, complete sequence
NZ_CP022289.1 Bacillus subtilis strain SX01705 plasmid pSX01705-2, complete sequence
NC_021714.1 Alteromonas mediterranea UM4b, complete sequence
NZ_CP012375.1 Microcystis aeruginosa NIES-2481, complete genome
NZ_CP011191.1 Bordetella pertussis strain H754 chromosome, complete genome
NZ_CP011707.1 Bordetella pertussis strain H849 chromosome, complete genome
NZ_CP032684.1 Rhizobium sp. CCGE531 chromosome, complete genome
NZ_CP032685.1 Rhizobium sp. CCGE531 plasmid pRCCGE531d, complete sequence
NZ_CP032686.1 Rhizobium sp. CCGE531 plasmid pRCCGE531c, complete sequence
NZ_CP032687.1 Rhizobium sp. CCGE531 plasmid pRCCGE531b, complete sequence
NZ_CP032688.1 Rhizobium sp. CCGE531 plasmid pRCCGE531a, complete sequence
NC_017189.1 Bacillus amyloliquefaciens LL3 plasmid pMC1, complete sequence
NC_017190.1 Bacillus amyloliquefaciens LL3, complete sequence
NZ_CP006692.1 Salmonella bongori serovar 48:z41:-- str. RKS3044 chromosome, complete genome
NZ_CP013875.1 Bordetella pertussis strain G807 chromosome, complete genome
NZ_CP011835.1 Azotobacter chroococcum strain B3, complete genome
NZ_CP011836.1 Azotobacter chroococcum strain B3 plasmid pacX50fB3 sequence
NZ_CP011837.1 Azotobacter chroococcum strain B3 plasmid pacX50dB3a sequence
NZ_CP011838.1 Azotobacter chroococcum strain B3 plasmid pacx50dB3b sequence
NZ_CP053599.1 Escherichia coli strain NEBExpress chromosome, complete genome
NZ_CP012398.1 Chelatococcus sp. CO-6, complete genome
NZ_CP012399.1 Chelatococcus sp. CO-6 plasmid pCO-6, complete sequence
NZ_CP012125.1 Escherichia coli strain DH1Ec095, complete genome
NZ_CP018385.1 Burkholderia pseudomallei strain 2008724860 plasmid p1, complete sequence
NZ_CP018386.1 Burkholderia pseudomallei strain 2008724860 chromosome 2, complete sequence
NZ_CP012133.1 Bordetella pertussis strain I259 chromosome, complete genome
NZ_CP029335.1 Sphingobium sp. LF-16 chromosome, complete genome
NZ_CP027107.1 Cronobacter sakazakii strain CS-931 chromosome, complete genome
NZ_CP027108.1 Cronobacter sakazakii strain CS-931 plasmid pCsaCS931a, complete sequence
NZ_CP049260.1 Cronobacter sakazakii strain CS-931 plasmid pCsaCS931b, complete sequence
NZ_CP053376.1 Bacillus amyloliquefaciens strain WF02 chromosome, complete genome
NZ_CP022341.1 Bacillus velezensis strain 157 chromosome, complete genome
NZ_CP022342.1 Bacillus velezensis strain 157 plasmid p1-157 sequence
NZ_CP022343.1 Bacillus velezensis strain 157 plasmid p2-157 sequence
NZ_CP003494.1 Mycobacterium tuberculosis variant bovis BCG str. ATCC 35743 strain Tice chromosome, complete genome
NZ_CP017421.1 Arthrobacter sp. ZXY-2 chromosome, complete genome
NZ_CP017422.1 Arthrobacter sp. ZXY-2 plasmid pZXY21, complete sequence
NZ_CP017423.1 Arthrobacter sp. ZXY-2 plasmid pZXY22, complete sequence
NZ_CP017424.1 Arthrobacter sp. ZXY-2 plasmid pZXY23, complete sequence
NZ_CP017425.1 Arthrobacter sp. ZXY-2 plasmid pZXY24, complete sequence
NZ_CP017426.1 Arthrobacter sp. ZXY-2 plasmid pZXY25, complete sequence
NZ_CP049806.1 Acinetobacter pittii strain A1254 chromosome, complete genome
NZ_CP049807.1 Acinetobacter pittii strain A1254 plasmid pA1254_1, complete sequence
NZ_CP049808.1 Acinetobacter pittii strain A1254 plasmid pA1254_2, complete sequence
NZ_CP049809.1 Acinetobacter pittii strain A1254 plasmid pA1254_3, complete sequence
NZ_CP049810.1 Acinetobacter pittii strain A1254 plasmid pA1254_4, complete sequence
NZ_CP042174.1 Oerskovia sp. KBS0722 chromosome, complete genome
NZ_CP012597.1 Salmonella enterica subsp. enterica serovar Newport strain 0112-791, complete genome
NZ_CP013145.1 Colwellia sp. MT41, complete genome
NZ_CP022524.1 Clostridioides difficile strain DH/NAP11/106/ST-42 chromosome, complete genome
NZ_CP013907.1 Bordetella pertussis strain J277 chromosome, complete genome
NZ_CP027778.1 Clostridium botulinum strain Mfbjulcb6 chromosome, complete genome
NZ_CP025379.1 Bordetella pertussis strain I188 chromosome, complete genome
NZ_CP018412.1 Burkholderia pseudomallei strain 3000015486 chromosome 2, complete sequence
NZ_CP020424.2 Clostridioides difficile strain FDAARGOS_267 chromosome, complete genome
NZ_CP020425.2 Clostridioides difficile strain FDAARGOS_267 plasmid unnamed1, complete sequence
NZ_CP020426.2 Clostridioides difficile strain FDAARGOS_267 plasmid unnamed2, complete sequence
NZ_CP033218.1 Bacillus licheniformis strain TCCC 11148 chromosome, complete genome
NZ_CP011728.1 Bordetella pertussis strain I273 chromosome, complete genome
NZ_CP032146.1 Bacillus amyloliquefaciens strain YP6 chromosome, complete genome
NZ_CP009971.1 Yersinia pestis CO92 plasmid unnamed, complete sequence
NZ_CP009972.1 Yersinia pestis CO92 plasmid unnamed, complete sequence
NZ_CP013095.1 Bordetella pertussis strain J201 chromosome, complete genome
NZ_CP045825.1 Bacillus subtilis strain 75 chromosome, complete genome
NZ_AP021896.1 Escherichia coli strain 2018-02-2CC
NZ_AP021897.1 Escherichia coli strain 2018-02-2CC plasmid p2018_02_02CC, complete sequence
NZ_CP023602.1 Mycobacterium tuberculosis strain LE13 chromosome, complete genome
NC_002945.3 Mycobacterium bovis AF2122/97 chromosome, complete genome
NZ_CP011347.1 Bacillus velezensis strain YJ11-1-4 chromosome, complete genome
NZ_CP011694.1 Bordetella pertussis strain H346 chromosome, complete genome
NZ_CP007409.1 Bacillus subtilis subsp. subtilis str. OH 131.1 strain OH131.1 chromosome, complete genome
NZ_CP012084.1 Bordetella pertussis strain I976 chromosome, complete genome
NZ_CP032863.1 Bacillus subtilis subsp. subtilis strain N2-2 chromosome, complete genome
NZ_CP032864.1 Bacillus subtilis subsp. subtilis strain N2-2 plasmid unnamed1, complete sequence
NC_017263.1 Yersinia pestis biovar Medievalis str. Harbin 35 plasmid pCD, complete sequence
NC_017264.1 Yersinia pestis biovar Medievalis str. Harbin 35 plasmid pPCP, complete sequence
NC_017266.1 Yersinia pestis biovar Medievalis str. Harbin 35 plasmid pMT, complete sequence
NC_007608.1 Shigella boydii Sb227 plasmid pSB4_227, complete sequence
NC_007613.1 Shigella boydii Sb227, complete sequence
NZ_CP025371.1 Bordetella pertussis strain H640 chromosome, complete genome
NZ_CP014566.1 Mycobacterium tuberculosis variant bovis BCG str. Tokyo 172 chromosome, complete genome
NZ_CP011401.1 Bordetella pertussis strain B3621, complete genome
NZ_CP033198.1 Bacillus paralicheniformis strain FA6 chromosome, complete genome
NZ_CP027243.1 Acinetobacter baumannii strain WCHAB005078 plasmid p1_005078, complete sequence
NZ_CP027244.1 Acinetobacter baumannii strain WCHAB005078 plasmid p2_005078, complete sequence
NZ_CP027245.2 Acinetobacter baumannii strain WCHAB005078 plasmid pOXA58_005078, complete sequence
NZ_CP027246.2 Acinetobacter baumannii strain WCHAB005078 chromosome, complete genome
NZ_CP016106.1 Clostridioides difficile strain DSM 29637 chromosome, complete genome
NZ_CP016450.1 Sinorhizobium sp. RAC02 chromosome, complete genome
NZ_CP016451.1 Sinorhizobium sp. RAC02 plasmid pBSY16_2, complete sequence
NZ_CP016452.1 Sinorhizobium sp. RAC02 plasmid pBSY16_1, complete sequence
NZ_CP015773.2 Mycobacterium tuberculosis variant bovis strain SP38 chromosome, complete genome
NZ_CP010816.1 Escherichia coli strain BL21 (TaKaRa), complete genome
NZ_CP021403.1 Bordetella pertussis strain J473 chromosome, complete genome
NZ_CP011766.1 Bordetella pertussis strain J100 chromosome, complete genome
NC_011769.1 Desulfovibrio vulgaris str. 'Miyazaki F', complete genome
NZ_LM651928.1 Shigella flexneri genome assembly NCTC1, chromosome : 1
NZ_CP024107.1 Bacillus cytotoxicus strain CH_15 chromosome, complete genome
NZ_CP024108.1 Bacillus cytotoxicus strain CH_15 plasmid pCh15_83, complete sequence
NZ_CP010444.1 Escherichia coli K-12 strain K-12 MG1655 chromosome, complete genome
NZ_CP013241.1 Clostridium botulinum strain CDC_67071 chromosome pNPD7, complete genome
NZ_CP013242.1 Clostridium botulinum strain CDC_67071 chromosome, complete genome
NZ_CP043197.1 Escherichia coli O16:H48 strain PG20180061 chromosome, complete genome
NZ_CP043198.1 Escherichia coli O16:H48 strain PG20180061 plasmid pPG20180061.1-IncI2, complete sequence
NC_007606.1 Shigella dysenteriae Sd197, complete sequence
NC_007607.1 Shigella dysenteriae Sd197 plasmid pSD1_197, complete sequence
NC_009344.1 Shigella dysenteriae Sd197 plasmid pSD197_spA, complete sequence
NZ_CP010840.1 Bordetella pertussis strain H379 chromosome, complete genome
NZ_CP033213.1 Clostridioides difficile strain CD10010 chromosome, complete genome
NZ_CP010912.1 Alteromonas australica strain DE170 chromosome, complete genome
NZ_CP014795.1 Bacillus licheniformis strain SCK B11, complete genome
NZ_CP026592.1 Clostridioides difficile strain CD-10-00484 chromosome, complete genome
NZ_CP013082.1 Bordetella pertussis strain H382 chromosome, complete genome
NZ_CP004004.1 Burkholderia pseudomallei NAU20B-16 chromosome 2, complete sequence
NZ_CP034142.1 Marinobacter sp. NP-4(2019) chromosome, complete genome
NZ_CP034143.1 Marinobacter sp. NP-4(2019) plasmid unnamed1, complete sequence
NZ_CP034144.1 Marinobacter sp. NP-4(2019) plasmid unnamed2, complete sequence
NZ_CP035899.1 Bacillus amyloliquefaciens strain ARP23 chromosome, complete genome
NZ_CP046271.1 Enterobacter hormaechei strain E70 chromosome, complete genome
NZ_CP046272.1 Enterobacter hormaechei strain E70 plasmid pE70-A, complete sequence
NZ_CP046273.1 Enterobacter hormaechei strain E70 plasmid pE70-sul2, complete sequence
NZ_CP046274.1 Enterobacter hormaechei strain E70 plasmid pE70-NDM1, complete sequence
NZ_CP046275.1 Enterobacter hormaechei strain E70 plasmid pE70-TEM1, complete sequence
NZ_CP024104.1 Bacillus cytotoxicus strain CH_23 chromosome, complete genome
NZ_CP024105.1 Bacillus cytotoxicus strain CH_23 plasmid pCh23_53, complete sequence
NZ_CP024106.1 Bacillus cytotoxicus strain CH_23 plasmid pCh23_67, complete sequence
NZ_CP042220.2 Dickeya sp. NCPPB 569 chromosome, complete genome
NZ_CP035164.1 Bacillus subtilis strain SRCM104005 chromosome, complete genome
NZ_CP023585.1 Mycobacterium tuberculosis strain MDRDM1098 chromosome, complete genome
NZ_CP017926.1 Bordetella pertussis strain J230 chromosome, complete genome
NZ_CP020596.1 Acinetobacter baumannii strain HWBA8 plasmid pHWBA8_1, complete sequence
NZ_CP020597.1 Acinetobacter baumannii strain HWBA8 chromosome, complete genome
NZ_CP025479.1 Bordetella pertussis strain I892 chromosome, complete genome
NZ_CP025599.1 Mycobacterium tuberculosis strain GG-45-11 chromosome, complete genome
NZ_CP017483.1 Stenotrophomonas sp. LM091 chromosome, complete genome
NZ_CP011755.1 Bordetella pertussis strain J023 chromosome, complete genome
NZ_CP020894.3 Legionella longbeachae strain F1157CHC chromosome, complete genome
NZ_CP020895.2 Legionella longbeachae strain F1157CHC plasmid pLLO-F1157CHC, complete sequence
NC_021251.1 Mycobacterium tuberculosis CCDC5079, complete sequence
NZ_CP053336.1 Salmonella bongori serovar 48:z81:- strain 08-0158 chromosome, complete genome
NZ_CP023031.1 Acinetobacter baumannii strain 7847 chromosome, complete genome
NZ_CP023032.1 Acinetobacter baumannii strain 7847 plasmid pAba7847a, complete sequence
NZ_CP023033.1 Acinetobacter baumannii strain 7847 plasmid pAba7847b, complete sequence
NZ_CP008925.1 Salmonella enterica subsp. enterica serovar Cerro strain 87, complete genome
NZ_CP017164.1 Bordetella pertussis strain J224 chromosome, complete genome
NZ_CP048830.1 Leptospira interrogans serovar Copenhageni strain SK1 chromosome I, complete sequence
NZ_CP048831.1 Leptospira interrogans serovar Copenhageni strain SK1 chromosome II, complete sequence
NZ_CP026805.1 Shigella dysenteriae strain 2017C-4522 chromosome, complete genome
NZ_CP026806.1 Shigella dysenteriae strain 2017C-4522 plasmid unnamed, complete sequence
NZ_CP026514.1 Arthrobacter sp. PGP41 chromosome, complete genome
NZ_CP033829.1 Stenotrophomonas maltophilia strain FDAARGOS_507 chromosome, complete genome
NZ_LR782267.1 Acinetobacter sp. Marseille-Q1620 chromosome contig00001
NC_014639.1 Bacillus atrophaeus 1942, complete genome
NZ_CP006890.1 Bacillus velezensis SQR9 chromosome, complete genome
NZ_CP011287.1 Yersinia enterocolitica strain KNG22703 plasmid, complete sequence
NZ_CP045425.1 Bacillus subtilis strain JAAA chromosome, complete genome
NZ_CP045426.1 Bacillus subtilis strain JAAA plasmid unnamed1
NZ_CP023859.1 Bacillus velezensis strain L-1 chromosome, complete genome
NZ_CP013423.1 Burkholderia sp. MSMB0852 plasmid pMSMB0852, complete sequence
NZ_CP013425.1 Burkholderia sp. MSMB0852 chromosome 2, complete sequence
NZ_CP023404.1 Elizabethkingia anophelis strain AR4-6 chromosome, complete genome
NZ_CP049368.1 Stenotrophomonas maltophilia strain MER1 chromosome, complete genome
NZ_CP040532.1 Burkholderia pseudomallei strain VB3253 chromosome 2, complete sequence
NC_014017.1 Yersinia pestis Z176003 plasmid pCD1, complete sequence
NC_014022.1 Yersinia pestis Z176003 plasmid pMT1, complete sequence
NC_014027.1 Yersinia pestis Z176003 plasmid pPCP1, complete sequence
NC_011585.2 Acinetobacter baumannii AB0057 plasmid pAB0057, complete sequence
NC_011586.2 Acinetobacter baumannii AB0057, complete sequence
NZ_CP049353.1 Escherichia coli strain T28R chromosome, complete genome
NZ_CP049354.1 Escherichia coli strain T28R plasmid pT28R-1, complete sequence
NZ_CP049355.1 Escherichia coli strain T28R plasmid pT28R-2, complete sequence
NZ_CP049356.1 Escherichia coli strain T28R plasmid pT28R-3, complete sequence
NZ_LR698984.1 Clostridioides difficile isolate MGYG-HGUT-02369 chromosome 1
NZ_CP046918.1 Bacillus velezensis strain BA-26 chromosome, complete genome
NZ_CP011934.1 Leptospira interrogans serovar Manilae strain UP-MMC-NIID HP chromosome 1, complete sequence
NZ_CP011935.1 Leptospira interrogans serovar Manilae strain UP-MMC-NIID HP chromosome 2, complete sequence
NZ_CP011936.1 Leptospira interrogans serovar Manilae strain UP-MMC-NIID HP plasmid pLIMHP1, complete sequence
NZ_CP033861.1 Alcaligenes faecalis strain FDAARGOS_491 chromosome, complete genome
NZ_CP025526.1 Bordetella pertussis strain D665 chromosome, complete genome
NZ_CP048106.1 Pontibacter sp. BT214 chromosome, complete genome
NZ_CP014211.1 Bordetella pertussis strain J377 chromosome, complete genome
NZ_CP011178.1 Bordetella pertussis strain F658 chromosome, complete genome
NZ_CP020379.1 Clostridioides difficile strain DSM 102860 chromosome, complete genome
NZ_CP012952.1 Acinetobacter baumannii strain D36 chromosome, complete genome
NZ_CP012953.1 Acinetobacter baumannii strain D36 plasmid pD36-1 clone GC1, complete sequence
NZ_CP012954.1 Acinetobacter baumannii strain D36 plasmid pRAY* (pD36-2) clone GC1, complete sequence
NZ_CP012955.1 Acinetobacter baumannii strain D36 plasmid pD36-3 clone GC1, complete sequence
NZ_CP012956.1 Acinetobacter baumannii strain D36 plasmid pD36-4 clone GC1, complete sequence
NZ_CP026086.2 Acinetobacter pittii strain WCHAP005069 plasmid pOXA58_005069, complete sequence
NZ_CP026087.2 Acinetobacter pittii strain WCHAP005069 plasmid p1_005069, complete sequence
NZ_CP026088.1 Acinetobacter pittii strain WCHAP005069 plasmid p2_005069, complete sequence
NZ_CP026089.2 Acinetobacter pittii strain WCHAP005069 chromosome, complete genome
NZ_AP014855.1 Escherichia albertii strain NIAH_Bird_3
NZ_CP030093.1 Mycobacterium tuberculosis strain RUS_B0 chromosome, complete genome
NZ_CP044060.1 Aeromonas veronii strain FDAARGOS_632 chromosome, complete genome
NZ_CP044061.1 Aeromonas veronii strain FDAARGOS_632 plasmid unnamed1, complete sequence
NZ_CP009243.1 Mycobacterium tuberculosis variant bovis BCG strain Russia 368 chromosome, complete genome
NZ_CP010845.1 Bordetella pertussis strain H561 chromosome, complete genome
NZ_CP006579.1 Aeromonas hydrophila 4AK4 chromosome, complete genome
NZ_CP029154.1 Clostridioides difficile strain CD161 chromosome, complete genome
NZ_CP029155.1 Clostridioides difficile strain CD161 plasmid unnamed1, complete sequence
NZ_CP029156.1 Clostridioides difficile strain CD161 plasmid unnamed2, complete sequence
NZ_CP049055.1 Candidatus Kuenenia stuttgartiensis strain CSTR1 chromosome, complete genome
NZ_CP018055.1 Burkholderia pseudomallei strain VB976100 chromosome 2, complete sequence
NZ_CP044131.1 Comamonas testosteroni strain NFYY023 chromosome, complete genome
NZ_CP013741.1 Mycobacterium tuberculosis variant bovis strain BCG-1 (Russia) chromosome, complete genome
NZ_CP004024.1 Burkholderia pseudomallei MSHR511 chromosome 2, complete sequence
NZ_CP009751.1 Bordetella pertussis B1917 chromosome, complete genome
NZ_CP048071.1 Mycobacterium tuberculosis strain RW-TB008 chromosome, complete genome
NZ_CP027105.1 Escherichia coli strain RM14721 chromosome, complete genome
NZ_CP027106.1 Escherichia coli strain RM14721 plasmid pRM14721, complete sequence
NZ_CP025266.1 Acinetobacter baumannii isolate SMC_Paed_Ab_BL01 chromosome, complete genome
NZ_CP025267.1 Acinetobacter baumannii isolate SMC_Paed_Ab_BL01 plasmid pSMC_AB_BL01_1, complete sequence
NC_016784.1 Bacillus velezensis CAU B946, complete genome
NZ_CP010257.1 Bordetella pertussis strain I496 chromosome, complete genome
NZ_CP011938.1 Escherichia coli strain C43(DE3) chromosome, complete genome
NZ_CP024576.1 Acinetobacter baumannii strain AbPK1 chromosome, complete genome
NZ_CP024577.1 Acinetobacter baumannii strain AbPK1 plasmid pAbPK1a, complete sequence
NZ_CP024578.1 Acinetobacter baumannii strain AbPK1 plasmid pAbPK1b, complete sequence
NZ_CP017882.1 Bordetella pertussis strain I384 chromosome, complete genome
NZ_CP031694.1 Bacillus velezensis strain SRCM101368 chromosome, complete genome
NZ_AP018035.1 Mycobacterium tuberculosis strain HN-321
NZ_CP027530.1 Acinetobacter baumannii strain AR_0088 chromosome, complete genome
NZ_CP027531.1 Acinetobacter baumannii strain AR_0088 plasmid unnamed1, complete sequence
NZ_CP027532.1 Acinetobacter baumannii strain AR_0088 plasmid unnamed2, complete sequence
NZ_CP025117.1 Olleya sp. Bg11-27 chromosome, complete genome
NZ_CP011744.1 Bordetella pertussis strain I755 chromosome, complete genome
NZ_CP016959.1 Bordetella pertussis strain D422, complete genome
NZ_CP026026.1 Escherichia coli strain CAR chromosome, complete genome
NZ_CP019113.1 Enterobacter sp. SA187 chromosome, complete genome
NZ_CP017087.1 Enterobacter sp. HK169, complete genome
NZ_CP014513.1 Frondihabitans sp. PAMC 28766 strain SR6 chromosome, complete genome
NZ_CP014514.1 Frondihabitans sp. PAMC 28766 strain SR6 plasmid 1, complete sequence
NZ_CP014515.1 Frondihabitans sp. PAMC 28766 strain SR6 plasmid 2, complete sequence
NZ_CP014516.1 Frondihabitans sp. PAMC 28766 strain SR6 plasmid 3, complete sequence
NZ_CP030099.1 Roseovarius sp. AK1035 chromosome, complete genome
NZ_CP030100.1 Roseovarius sp. AK1035 plasmid unnamed, complete sequence
NZ_CP013089.1 Bordetella pertussis strain J179 chromosome, complete genome
NZ_CP010327.1 Myroides sp. A21 chromosome, complete genome
NZ_CP026595.1 Clostridioides difficile strain 12-00011 chromosome, complete genome
NZ_CP009713.1 Yersinia pestis Pestoides F plasmid pCD, complete sequence
NZ_CP009714.1 Yersinia pestis Pestoides F plasmid pMT, complete sequence
NZ_CP021366.1 Acidovorax carolinensis strain P4 chromosome, complete genome
NZ_CP021367.1 Acidovorax carolinensis strain P4 plasmid pACP4.1, complete sequence
NZ_CP021368.1 Acidovorax carolinensis strain P4 plasmid pACP4.2, complete sequence
NZ_CP021369.1 Acidovorax carolinensis strain P4 plasmid pACP4.3, complete sequence
NZ_CP021370.1 Acidovorax carolinensis strain P4 plasmid pACP4.4, complete sequence
NZ_CP011237.1 Bordetella pertussis strain H851 chromosome, complete genome
NZ_CP025604.1 Mycobacterium tuberculosis strain GG-129-11 chromosome, complete genome
NZ_CP017247.1 Bacillus licheniformis strain BL1202, complete genome
NZ_CP023598.1 Mycobacterium tuberculosis strain SLM100 chromosome, complete genome
NZ_CP016339.1 Bordetella pertussis strain C927 chromosome, complete genome
NZ_CP013418.1 Burkholderia sp. MSMB0266 chromosome 2, complete sequence
NZ_CP011324.1 Escherichia coli strain SQ2203 chromosome, complete genome
NZ_CP044344.1 Nocardioides sp. SB3-45 chromosome, complete genome
NZ_CP054141.1 Flavobacterium sp. M31R6 chromosome, complete genome
NC_008118.1 Yersinia pestis Nepal516 plasmid pMT, complete sequence
NC_008119.1 Yersinia pestis Nepal516 plasmid pPCP, complete sequence
NZ_CP015364.1 Acinetobacter baumannii strain 3207 chromosome, complete genome
NZ_CP015365.1 Acinetobacter baumannii strain 3207 plasmid pAba3207a, complete sequence
NZ_CP015366.1 Acinetobacter baumannii strain 3207 plasmid pAba3207b, complete sequence
NZ_CP009473.1 Burkholderia pseudomallei MSHR840 chromosome II, complete sequence
NZ_CP023746.1 Elizabethkingia miricola strain EM798-26 chromosome, complete genome
NZ_CP009796.1 Bacillus subtilis strain SG6, complete genome
NZ_CP020543.1 Escherichia coli C, complete genome
NZ_CP013293.1 Chryseobacterium sp. IHB B 17019, complete genome
NZ_CP013294.1 Chryseobacterium sp. IHB B 17019 plasmid pAR01, complete sequence
NZ_CP012872.1 Salegentibacter sp. T436, complete genome
NZ_CP017596.1 Mycobacterium tuberculosis strain Beijing/391 chromosome, complete genome
NZ_CP011187.1 Bordetella pertussis strain H703 chromosome, complete genome
NZ_CP026784.1 Shigella dysenteriae strain 80-547 chromosome, complete genome
NZ_CP026785.1 Shigella dysenteriae strain 80-547 plasmid unnamed
NZ_CP028375.1 Bacillus velezensis strain W1 chromosome, complete genome
NZ_CP016894.1 Bacillus subtilis strain HJ0-6, complete genome
NZ_CP045164.1 Yersinia pestis strain SCPM-O-B-6291 (C-25) plasmid pMT, complete sequence
NZ_CP045165.1 Yersinia pestis strain SCPM-O-B-6291 (C-25) plasmid pPCP, complete sequence
NC_009425.1 Enterobacter sp. 638 plasmid pENTE01, complete sequence
NC_009436.1 Enterobacter sp. 638, complete sequence
NZ_CP011757.1 Bordetella pertussis strain J030 chromosome, complete genome
NZ_CP046048.1 Proteus mirabilis strain HN2p chromosome HN2p, complete sequence
NZ_CP012132.1 Bordetella pertussis strain I187 chromosome, complete genome
NZ_CP013897.1 Bordetella pertussis strain J159 chromosome, complete genome
NZ_CP025079.1 Bacillus velezensis strain QST713 chromosome, complete genome
NZ_CP023631.1 Mycobacterium tuberculosis strain TBDM1506 chromosome, complete genome
NZ_CP025351.1 Bordetella pertussis strain H813 chromosome, complete genome
NZ_CP020753.1 Shigella flexneri 1c strain Y394 chromosome, complete genome
NZ_CP030773.1 Shigella flexneri 1c strain Y394 plasmid pINV-Y394, complete sequence
NZ_CP030774.1 Shigella flexneri 1c strain Y394 plasmid pNV-Y394, complete sequence
NZ_CP046280.1 Salmonella enterica strain FDAARGOS_688 chromosome, complete genome
NZ_CP046281.1 Salmonella enterica strain FDAARGOS_688 plasmid unnamed1, complete sequence
NZ_CP025349.1 Bordetella pertussis strain H672 chromosome, complete genome
NC_022530.1 Bacillus velezensis NAU-B3, complete genome
NC_022531.1 Bacillus velezensis NAU-B3 plasmid pBamNAU-B3a, complete sequence
NZ_CP011720.1 Bordetella pertussis strain I113 chromosome, complete genome
NZ_CP017648.1 Acinetobacter baumannii strain KAB04 chromosome, complete genome
NZ_CP017649.1 Acinetobacter baumannii strain KAB04 plasmid unnamed, complete sequence
NZ_LN649259.1 Bacillus subtilis strain BS49 chromosome I
NZ_CP013874.1 Bordetella pertussis strain G085 chromosome, complete genome
NZ_CP024028.1 Chromobacterium violaceum strain CV1192 chromosome
NZ_CP033862.1 Acinetobacter sp. FDAARGOS_560 chromosome, complete genome
NZ_CP033863.1 Acinetobacter sp. FDAARGOS_560 plasmid unnamed1
NZ_CP033864.1 Acinetobacter sp. FDAARGOS_560 plasmid unnamed2
NZ_CP048621.1 Providencia stuartii strain MF1 chromosome, complete genome
NZ_CP048622.1 Providencia stuartii strain MF1 plasmid pMF1A, complete sequence
NZ_CP023610.1 Mycobacterium tuberculosis strain LN317 chromosome, complete genome
NZ_CP019794.1 Paenibacillus larvae subsp. pulvifaciens strain ATCC 13537, complete genome
