NZ_CP016824.1 Streptomyces sampsonii strain KJ40 chromosome, complete genome
NC_021151.1 Salmonella enterica subsp. enterica serovar Typhimurium str. U288, complete sequence
NC_021155.1 Salmonella enterica subsp. enterica serovar Typhimurium str. U288 plasmid pSTU288-1, complete sequence
NC_021156.1 Salmonella enterica subsp. enterica serovar Typhimurium str. U288 plasmid pSTU288-2, complete sequence
NC_021157.1 Salmonella enterica subsp. enterica serovar Typhimurium str. U288 plasmid pSTU288-3, complete sequence
NZ_CP050811.1 Yokenella regensburgei strain W13 chromosome, complete genome
NZ_CP050812.1 Yokenella regensburgei strain W13 plasmid pYRW13-125, complete sequence
NZ_CP050813.1 Yokenella regensburgei strain W13 plasmid pYRW13-131, complete sequence
NZ_CP043102.1 Bordetella parapertussis strain J166 chromosome, complete genome
NZ_CP036165.1 Salmonella enterica subsp. enterica serovar Albany strain sg_wt5 chromosome, complete genome
NZ_CP037994.1 Salmonella enterica subsp. enterica serovar Albany strain sg_wt5 plasmid psg_wt5
NZ_CP029915.1 Salmonella enterica subsp. enterica serovar Typhi strain 343076_202113 chromosome, complete genome
NZ_CP029916.1 Salmonella enterica subsp. enterica serovar Typhi strain 343076_202113 plasmid pHCM2, complete sequence
NZ_CP025842.1 Escherichia coli strain 720632 chromosome, complete genome
NZ_CP025843.1 Escherichia coli strain 720632 plasmid p720632_7, complete sequence
NZ_CP025844.1 Escherichia coli strain 720632 plasmid p720632_94, complete sequence
NZ_CP025845.1 Escherichia coli strain 720632 plasmid p720632_72, complete sequence
NZ_CP025846.1 Escherichia coli strain 720632 plasmid p720632_86, complete sequence
NZ_CP007390.1 Escherichia coli strain ST540 chromosome, complete genome
NZ_CP040515.1 Bacillus paranthracis strain PR1 chromosome, complete genome
NZ_CP030207.1 Salmonella enterica strain SA19992307 chromosome, complete genome
NZ_CP030208.1 Salmonella enterica strain SA19992307 plasmid pSA19992307.1, complete sequence
NZ_CP029860.1 Salmonella enterica subsp. enterica serovar Typhi strain 343077_260153 plasmid pK91, complete sequence
NZ_CP029861.1 Salmonella enterica subsp. enterica serovar Typhi strain 343077_260153 chromosome, complete genome
NZ_CP034655.1 Xanthomonas campestris pv. musacearum NCPPB 4379 chromosome, complete genome
NZ_CP034656.1 Xanthomonas campestris pv. musacearum NCPPB 4379 plasmid pXCM49, complete sequence
NZ_LS997973.1 Salmonella enterica subsp. enterica serovar Typhimurium strain D23580 isolate D23580_liv chromosome D23580_liv_o
NZ_LS997974.1 Salmonella enterica subsp. enterica serovar Typhimurium strain D23580 isolate D23580_liv plasmid D23580_liv_pSLT-BT
NZ_LS997975.1 Salmonella enterica subsp. enterica serovar Typhimurium strain D23580 isolate D23580_liv plasmid D23580_liv_pBT1
NZ_LS997976.1 Salmonella enterica subsp. enterica serovar Typhimurium strain D23580 isolate D23580_liv plasmid D23580_liv_pBT2
NZ_LS997977.1 Salmonella enterica subsp. enterica serovar Typhimurium strain D23580 isolate D23580_liv plasmid D23580_liv_pBT3
NZ_CP029888.1 Salmonella enterica subsp. enterica serovar Typhi strain 343076_294172 chromosome, complete genome
NZ_CP029889.1 Salmonella enterica subsp. enterica serovar Typhi strain 343076_294172 plasmid pHCM2, complete sequence
NZ_CP043109.1 Bordetella parapertussis strain I768 chromosome, complete genome
NZ_CP053258.1 Escherichia coli strain GF4-3 chromosome, complete genome
NZ_CP024168.1 Salmonella enterica subsp. enterica serovar Tennessee strain CFSAN070643 chromosome, complete genome
NZ_CP048416.1 Citrobacter freundii strain CitB chromosome, complete genome
NZ_CP048417.1 Citrobacter freundii strain CitB plasmid pA_CitB, complete sequence
NZ_CP048418.1 Citrobacter freundii strain CitB plasmid pB_CitB, complete sequence
NZ_CP042301.2 Nitratireductor sp. SY7 chromosome, complete genome
NZ_CP010176.1 Escherichia coli strain H10, complete genome
NZ_CP033714.1 Yersinia pseudotuberculosis strain FDAARGOS_580 plasmid unnamed, complete sequence
NZ_AP012555.1 Mycobacterium avium subsp. hominissuis TH135
NZ_AP012556.1 Mycobacterium avium subsp. hominissuis TH135 plasmid pMAH135, complete sequence
NZ_CP016938.1 Yersinia enterocolitica strain YE6 plasmid unnamed1, complete sequence
NZ_CP030185.1 Salmonella enterica strain SA20094620 chromosome, complete genome
NZ_CP030186.1 Salmonella enterica strain SA20094620 plasmid pSA20094620.1, complete sequence
NZ_CP030187.1 Salmonella enterica strain SA20094620 plasmid pSA20094620.2, complete sequence
NZ_CP030188.1 Salmonella enterica strain SA20094620 plasmid pSA20094620.3, complete sequence
NZ_CP030189.1 Salmonella enterica strain SA20094620 plasmid pSA20094620.4, complete sequence
NZ_CP014663.2 Salmonella enterica subsp. enterica serovar Anatum str. USDA-ARS-USMARC-1677 chromosome, complete genome
NZ_CP034401.1 Escherichia coli strain CRE10 plasmid pCRE10.1, complete sequence
NZ_CP034402.1 Escherichia coli strain CRE10 plasmid pCRE10.2, complete sequence
NZ_CP034403.1 Escherichia coli strain CRE10 plasmid pCRE10.4, complete sequence
NZ_CP034404.1 Escherichia coli strain CRE10 chromosome, complete genome
NZ_CP034405.1 Escherichia coli strain CRE10 plasmid pCRE10.3, complete sequence
NC_017731.1 Providencia stuartii MRSN 2154, complete sequence
NZ_CP049188.1 Enterobacter hormaechei strain Y323 chromosome, complete genome
NZ_CP049189.1 Enterobacter hormaechei strain Y323 plasmid pIHI2-323, complete sequence
NZ_CP049190.1 Enterobacter hormaechei strain Y323 plasmid pY323-2, complete sequence
NZ_CP049191.1 Enterobacter hormaechei strain Y323 plasmid pY323-3, complete sequence
NZ_CP014983.1 Salmonella enterica subsp. enterica serovar Typhimurium str. CDC 2009K-2059 chromosome, complete genome
NZ_CP012199.1 Sphingopyxis granuli strain TFA chromosome, complete genome
NZ_CP016010.1 Salmonella enterica subsp. enterica serovar Newport strain CFSAN001660, complete genome
NZ_CP016011.1 Salmonella enterica subsp. enterica serovar Newport strain CFSAN001660 plasmid pCFSAN001660, complete sequence
NZ_CP027440.1 Escherichia coli strain 2012C-4502 chromosome, complete genome
NZ_CP027441.1 Escherichia coli strain 2012C-4502 plasmid unnamed, complete sequence
NZ_CP022664.1 Escherichia coli strain FORC 064 chromosome, complete genome
NZ_CP023732.1 Escherichia coli strain FORC 064 plasmid pFORC64.1, complete sequence
NZ_CP023733.1 Escherichia coli strain FORC 064 plasmid pFORC64.2, complete sequence
NZ_CP023734.1 Escherichia coli strain FORC 064 plasmid pFORC64.3, complete sequence
NC_008752.1 Acidovorax citrulli AAC00-1, complete sequence
NZ_LT603683.1 Bacillus glycinifermentans isolate BGLY chromosome 1
NZ_CP041437.1 Escherichia coli strain STEC005 chromosome, complete genome
NZ_CP041438.1 Escherichia coli strain STEC005 plasmid pSTEC005, complete sequence
NZ_CP043403.1 Xanthomonas oryzae pv. oryzicola strain GX01 chromosome, complete genome
NZ_KR071788.1 Xanthomonas oryzae pv. oryzicola strain GX01 plasmid pXOCgx01, complete sequence
NZ_CP016091.1 Clostridium saccharobutylicum strain NCP 258, complete genome
NZ_CP018657.1 Salmonella enterica subsp. enterica serovar Enteritidis strain 92-0392 chromosome, complete genome
NZ_CP018658.1 Salmonella enterica subsp. enterica serovar Enteritidis strain 92-0392 plasmid pSE92-0392, complete sequence
NZ_CP019177.1 Salmonella enterica subsp. enterica serovar Albany str. ATCC 51960 chromosome, complete genome
NZ_CP015598.1 Salmonella enterica strain FORC_030 chromosome, complete genome
NZ_CP015599.1 Salmonella enterica strain FORC_030 plasmid pFORC_030, complete sequence
NZ_CP029373.1 Acidovorax citrulli strain M6 chromosome, complete genome
NZ_CP029374.1 Acidovorax citrulli strain M6 plasmid pACM6, complete sequence
NZ_CP011974.1 Bacillus endophyticus strain Hbe603, complete genome
NZ_CP053585.1 Salmonella enterica strain 2011K-1440 chromosome, complete genome
NZ_CP036166.1 Salmonella enterica subsp. enterica serovar Brancaster strain sg_ww281 chromosome, complete genome
NZ_CP037995.1 Salmonella enterica subsp. enterica serovar Brancaster strain sg_ww281 plasmid psg_ww281
NZ_CP043093.1 Bordetella parapertussis strain J279 chromosome, complete genome
NZ_CP048371.1 Escherichia coli strain 164 chromosome, complete genome
NZ_CP048372.1 Escherichia coli strain 164 plasmid pC-F-163_A, complete sequence
NZ_CP048373.1 Escherichia coli strain 164 plasmid pC-F-163_B, complete sequence
NZ_CP048374.1 Escherichia coli strain 164 plasmid pC-F-163_C, complete sequence
NZ_CP048375.1 Escherichia coli strain 164 plasmid pC-F-163_D, complete sequence
NZ_CP045611.1 Enterobacter hormaechei strain AUH-ENM30 chromosome
NZ_CP018786.1 Chryseobacterium indologenes strain AA5 chromosome, complete genome
NZ_CP021400.1 Bordetella hinzii strain 243-2 chromosome, complete genome
NZ_CP011061.1 Escherichia coli str. Sanji chromosome, complete genome
NZ_CP011062.1 Escherichia coli str. Sanji plasmid pSJ_255, complete sequence
NZ_CP011063.1 Escherichia coli str. Sanji plasmid pSJ_98, complete sequence
NZ_CP011064.1 Escherichia coli str. Sanji plasmid pSJ_94, complete sequence
NZ_CP011065.1 Escherichia coli str. Sanji plasmid pSJ_82, complete sequence
NZ_CP011066.1 Escherichia coli str. Sanji plasmid pSJ_3, complete sequence
NZ_CP011067.1 Escherichia coli str. Sanji plasmid pSJ_2, complete sequence
NZ_CP016342.1 Bordetella parapertussis strain H904 chromosome, complete genome
NZ_CP011582.1 Enterobacter hormaechei strain CAV1668 plasmid pKPC_CAV1668, complete sequence
NZ_CP011583.1 Enterobacter hormaechei strain CAV1668 plasmid pCAV1668-85, complete sequence
NZ_CP011584.1 Enterobacter hormaechei strain CAV1668 chromosome, complete genome
NZ_CP018201.1 Aeromonas hydrophila strain MX16A chromosome, complete genome
NZ_CP033811.1 Chryseobacterium arthrosphaerae strain FDAARGOS_519 chromosome, complete genome
NZ_CP010200.1 Escherichia coli strain M10, complete genome
NZ_CP010201.1 Escherichia coli strain M10 plasmid A, complete sequence
NZ_CP010202.1 Escherichia coli strain M10 plasmid B, complete sequence
NZ_CP010203.1 Escherichia coli strain M10 plasmid C, complete sequence
NZ_CP010204.1 Escherichia coli strain M10 plasmid D, complete sequence
NZ_CP010205.1 Escherichia coli strain M10 plasmid E, complete sequence
NZ_AP017560.1 Pseudanabaena sp. ABRG5-3
NZ_AP017561.1 Pseudanabaena sp. ABRG5-3 plasmid ABRG53a, complete sequence
NZ_AP017562.1 Pseudanabaena sp. ABRG5-3 plasmid ABRG53b, complete sequence
NZ_AP017563.1 Pseudanabaena sp. ABRG5-3 plasmid ABRG53c, complete sequence
NZ_AP017564.1 Pseudanabaena sp. ABRG5-3 plasmid ABRG53d, complete sequence
NZ_AP017565.1 Pseudanabaena sp. ABRG5-3 plasmid ABRG53e, complete sequence
NZ_AP017566.1 Pseudanabaena sp. ABRG5-3 plasmid ABRG53f, complete sequence
NZ_AP017567.1 Pseudanabaena sp. ABRG5-3 plasmid ABRG53g, complete sequence
NZ_CP029858.1 Salmonella enterica subsp. enterica serovar Typhi strain 343077_285138 chromosome, complete genome
NZ_CP029859.1 Salmonella enterica subsp. enterica serovar Typhi strain 343077_285138 plasmid pHCM2, complete sequence
NZ_CP032915.1 Enterobacter roggenkampii strain ECY546 plasmid pY546, complete sequence
NZ_CP032916.1 Enterobacter roggenkampii strain ECY546 chromosome, complete genome
NZ_CP024273.1 Escherichia coli strain F9792 chromosome, complete genome
NZ_CP024274.1 Escherichia coli strain F9792 plasmid unnamed, complete sequence
NZ_CP010536.1 Cupriavidus basilensis strain 4G11 chromosome main, complete sequence
NZ_CP010537.1 Cupriavidus basilensis strain 4G11 chromosome secondary, complete sequence
NZ_CP026226.1 Aeromonas sp. ASNIH7 chromosome, complete genome
NZ_CP026227.1 Aeromonas sp. ASNIH7 plasmid pKPC-1ac6, complete sequence
NZ_CP041444.1 Escherichia coli strain YPE10 plasmid pYPE10-78k, complete sequence
NZ_CP041445.1 Escherichia coli strain YPE10 plasmid pYPE10-4k, complete sequence
NZ_CP041446.1 Escherichia coli strain YPE10 plasmid pYPE10-2k, complete sequence
NZ_CP041447.1 Escherichia coli strain YPE10 plasmid pYPE10-1k, complete sequence
NZ_CP041448.1 Escherichia coli strain YPE10 chromosome, complete genome
NZ_CP041449.1 Escherichia coli strain YPE10 plasmid pYPE10-190k-tetX4, complete sequence
NZ_CP040566.1 Salmonella enterica subsp. enterica serovar Typhimurium strain SAP17-7299 chromosome, complete genome
NZ_CP040567.1 Salmonella enterica subsp. enterica serovar Typhimurium strain SAP17-7299 plasmid pCFSAN059543, complete sequence
NZ_CP018121.1 Escherichia coli strain MRSN346355 chromosome, complete genome
NZ_CP018122.1 Escherichia coli strain MRSN346355 plasmid pMRSN346355_120.3, complete sequence
NZ_CP018123.1 Escherichia coli strain MRSN346355 plasmid pMRSN346355_67.9, complete sequence
NZ_CP018124.1 Escherichia coli strain MRSN346355 plasmid pMRSN346355_65.5, complete sequence
NZ_CP018125.1 Escherichia coli strain MRSN346355 plasmid pMRSN346355_61.1, complete sequence
NZ_CP018126.1 Escherichia coli strain MRSN346355 plasmid pMRSN346355_5.3, complete sequence
NZ_CP046557.1 Leclercia sp. 1106151 chromosome, complete genome
NZ_CP045947.1 Salmonella enterica subsp. enterica serovar Typhimurium strain AUSMDU00010530 chromosome, complete genome
NZ_CP045948.1 Salmonella enterica subsp. enterica serovar Typhimurium strain AUSMDU00010530 plasmid pAUSMDU00010530_01, complete sequence
NZ_CP011293.1 Salmonella enterica subsp. diarizonae strain 11-01854 plasmid unnamed1, complete sequence
NZ_CP011294.1 Salmonella enterica subsp. diarizonae strain 11-01854 plasmid unnamed2, complete sequence
NZ_CP028318.1 Salmonella enterica subsp. enterica serovar Typhimurium var. 5- strain CFSAN067216 chromosome, complete genome
NZ_CP028319.1 Salmonella enterica subsp. enterica serovar Typhimurium var. 5- strain CFSAN067216 plasmid pSC-09-1, complete sequence
NZ_CP013068.1 Pannonibacter phragmitetus strain 31801 chromosome, complete genome
NZ_CP013069.1 Pannonibacter phragmitetus strain 31801 plasmid p.p-1, complete sequence
NZ_CP027310.1 Escherichia coli strain 2014C-4135 chromosome, complete genome
NZ_CP027311.1 Escherichia coli strain 2014C-4135 plasmid unnamed, complete sequence
NZ_CP019628.1 Pseudoalteromonas aliena strain EH1 chromosome, complete genome
NZ_LT883153.1 Salmonella enterica subsp. enterica serovar Typhi strain ERL12148 genome assembly, chromosome: 1
NZ_LT883154.1 Salmonella enterica subsp. enterica serovar Typhi strain ERL12148 genome assembly, plasmid: 2
NZ_CP043095.1 Bordetella parapertussis strain J221 chromosome, complete genome
NZ_CP036290.1 Planctomycetes bacterium Pla163 chromosome, complete genome
NZ_CP032387.1 Salmonella enterica subsp. enterica serovar Dublin strain CVM N45955 chromosome, complete genome
NZ_CP032388.1 Salmonella enterica subsp. enterica serovar Dublin strain CVM N45955 plasmid pN45955_1, complete sequence
NZ_CP032389.1 Salmonella enterica subsp. enterica serovar Dublin strain CVM N45955 plasmid pN45955_2, complete sequence
NZ_HF571988.1 Yersinia enterocolitica (type O:5) str. YE53/03 isolate host faecal sample
NC_014659.1 Rhodococcus hoagii 103S, complete genome
NZ_CP014784.1 Pseudomonas alcaligenes strain NEB 585 chromosome, complete genome
NZ_CP031459.1 Xanthomonas oryzae pv. oryzae strain JL33 chromosome, complete genome
NZ_LT905140.1 Salmonella enterica subsp. enterica serovar Typhi strain ERL082356 chromosome 1
NZ_CP043072.1 Bordetella parapertussis strain J599 chromosome, complete genome
NZ_CP019948.1 Methylocystis bryophila strain S285 chromosome, complete genome
NZ_CP019949.1 Methylocystis bryophila strain S285 plasmid p1, complete sequence
NC_015061.1 Rahnella sp. Y9602, complete sequence
NC_015062.1 Rahnella sp. Y9602 plasmid pRAHAQ01, complete sequence
NC_015063.1 Rahnella sp. Y9602 plasmid pRAHAQ02, complete sequence
NZ_CP029863.1 Salmonella enterica subsp. enterica serovar Typhi strain 343077_278127 chromosome, complete genome
NZ_CP048304.1 Escherichia coli strain 9 chromosome, complete genome
NZ_CP048305.1 Escherichia coli strain 9 plasmid p009_A, complete sequence
NZ_CP048306.1 Escherichia coli strain 9 plasmid p009_B, complete sequence
NZ_CP048307.1 Escherichia coli strain 9 plasmid p009_C, complete sequence
NZ_CP048308.1 Escherichia coli strain 9 plasmid p009_D, complete sequence
NZ_CP048309.1 Escherichia coli strain 9 plasmid p009_E, complete sequence
NZ_CP030760.1 Rhizobium leguminosarum strain ATCC 14479 chromosome, complete genome
NZ_CP030761.1 Rhizobium leguminosarum strain ATCC 14479 plasmid unnamed1, complete sequence
NZ_CP030762.1 Rhizobium leguminosarum strain ATCC 14479 plasmid unnamed2, complete sequence
NZ_CP030763.1 Rhizobium leguminosarum strain ATCC 14479 plasmid unnamed3, complete sequence
NZ_CP030764.1 Rhizobium leguminosarum strain ATCC 14479 plasmid unnamed4, complete sequence
NZ_CP040562.1 Salmonella enterica subsp. enterica serovar Typhimurium strain SAP17-7399 chromosome, complete genome
NZ_CP040563.1 Salmonella enterica subsp. enterica serovar Typhimurium strain SAP17-7399 plasmid pCFSAN059545, complete sequence
NZ_CP027199.1 Escherichia coli strain WCHEC025943 plasmid p1_025943, complete sequence
NZ_CP027200.1 Escherichia coli strain WCHEC025943 plasmid p2_025943, complete sequence
NZ_CP027201.2 Escherichia coli strain WCHEC025943 plasmid p3_025943, complete sequence
NZ_CP027202.2 Escherichia coli strain WCHEC025943 plasmid pMCR1_025943, complete sequence
NZ_CP027203.2 Escherichia coli strain WCHEC025943 plasmid pMCR3_025943, complete sequence
NZ_CP027204.2 Escherichia coli strain WCHEC025943 plasmid pNDM5_025943, complete sequence
NZ_CP027205.2 Escherichia coli strain WCHEC025943 chromosome, complete genome
NZ_CP010150.1 Escherichia coli strain D7 chromosome, complete genome
NZ_CP007518.2 Aeromonas hydrophila YL17 chromosome, complete genome
NZ_CP018259.1 Acinetobacter bereziniae strain XH901 chromosome, complete genome
NZ_CP043082.1 Bordetella parapertussis strain J297 chromosome, complete genome
NZ_CP016628.1 Escherichia coli strain FORC_041, complete genome
NZ_CP029040.1 Salmonella enterica strain CFSAN047866 chromosome, complete genome
NZ_CP051269.1 Salmonella enterica subsp. enterica serovar Typhimurium strain OLF_FSR1_WB_Finch_ST-13 chromosome, complete genome
NZ_CP015069.1 Escherichia coli strain Ecol_743 chromosome, complete genome
NZ_CP015070.1 Escherichia coli strain Ecol_743 plasmid pEC743_1, complete sequence
NZ_CP015071.1 Escherichia coli strain Ecol_743 plasmid pEC743_OXA48, complete sequence
NZ_CP015072.1 Escherichia coli strain Ecol_743 plasmid pEC743_3, complete sequence
NZ_CP015073.1 Escherichia coli strain Ecol_743 plasmid pEC743_4, complete sequence
NZ_CP049786.1 Leclercia sp. 29361 chromosome, complete genome
NZ_CP029933.1 Salmonella enterica subsp. enterica serovar Typhi strain 311189_214186 chromosome, complete genome
NZ_CP029934.1 Salmonella enterica subsp. enterica serovar Typhi strain 311189_214186 plasmid pHCM1, complete sequence
NC_008345.1 Shewanella frigidimarina NCIMB 400, complete sequence
NZ_CP007557.1 Citrobacter freundii CFNIH1, complete genome
NZ_CP007558.1 Citrobacter freundii CFNIH1 plasmid pKEC-a3c, complete sequence
NZ_CP020469.1 Halomonas sp. 'Soap Lake #6' chromosome, complete genome
NZ_CP024683.1 Citrobacter freundii strain UMH13 chromosome, complete genome
NZ_CP048367.1 Escherichia coli strain 163 chromosome, complete genome
NZ_CP048368.1 Escherichia coli strain 163 plasmid pC-F-164_A-OXA140, complete sequence
NZ_CP048369.1 Escherichia coli strain 163 plasmid pC-F-164_B, complete sequence
NZ_CP048370.1 Escherichia coli strain 163 plasmid pC-F-164_C, complete sequence
NZ_CP042578.1 Enterobacter kobei strain C16 chromosome, complete genome
NZ_CP042579.1 Enterobacter kobei strain C16 plasmid pC16_001, complete sequence
NZ_CP042580.1 Enterobacter kobei strain C16 plasmid pC16_002, complete sequence
NZ_CP042581.1 Enterobacter kobei strain C16 plasmid pC16_003, complete sequence
NZ_LR134204.1 Citrobacter koseri strain NCTC11075 chromosome 1
NZ_CP019725.1 Xanthomonas perforans 91-118 chromosome, complete genome
NZ_CP027462.1 Escherichia coli isolate 07-4299 chromosome, complete genome
NZ_CP027463.1 Escherichia coli isolate 07-4299 plasmid unnamed
NZ_CP043107.1 Bordetella parapertussis strain J069 chromosome, complete genome
NZ_LR134078.1 Escherichia coli strain NCTC9085 chromosome 1
NZ_CP015413.1 Pseudoalteromonas luteoviolacea strain S40542 chromosome 1, complete sequence
NZ_CP015414.1 Pseudoalteromonas luteoviolacea strain S40542 chromosome 2, complete sequence
NZ_CP009781.1 Yersinia aldovae 670-83 chromosome, complete genome
NC_022524.1 Bacillus infantis NRRL B-14911, complete genome
NZ_CP011100.1 Aeromonas hydrophila strain AH10, complete genome
NZ_CP005994.1 Salmonella enterica subsp. enterica serovar Heidelberg str. CFSAN002064 plasmid unnamed, complete sequence
NZ_CP005995.1 Salmonella enterica subsp. enterica serovar Heidelberg str. CFSAN002064 chromosome, complete genome
NZ_CP028575.2 Escherichia coli strain WCHEC005784 plasmid p1_005784, complete sequence
NZ_CP028576.1 Escherichia coli strain WCHEC005784 plasmid pCTXM15_005784, complete sequence
NZ_CP028577.1 Escherichia coli strain WCHEC005784 plasmid pNDM5_005784, complete sequence
NZ_CP028578.2 Escherichia coli strain WCHEC005784 chromosome, complete genome
NZ_CP029960.1 Salmonella enterica subsp. enterica serovar Typhi strain 343078_251131 chromosome, complete genome
NZ_CP029961.1 Salmonella enterica subsp. enterica serovar Typhi strain 343078_251131 plasmid pHCM2, complete sequence
NZ_CP019174.1 Salmonella enterica subsp. enterica serovar Give strain CFSAN024229 chromosome, complete genome
NZ_CP019175.1 Salmonella enterica subsp. enterica serovar Give strain CFSAN024229 plasmid pCFSAN024229, complete sequence
NZ_CP047155.1 Aeromonas veronii strain AVNIH1 chromosome, complete genome
NZ_CP052850.1 Bordetella parapertussis strain J778 chromosome, complete genome
NZ_CP024956.1 Pectobacterium atrosepticum strain 36A chromosome, complete genome
NZ_CP020933.1 Escherichia coli strain HB-Coli0 chromosome, complete genome
NZ_CP020934.1 Escherichia coli strain HB-Coli0 plasmid unnamed1, complete sequence
NZ_CP020936.1 Escherichia coli strain HB-Coli0 plasmid unnamed3, complete sequence
NZ_CP036166.1 Salmonella enterica subsp. enterica serovar Brancaster strain sg_ww281 chromosome, complete genome
NZ_CP039498.1 Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000228 chromosome, complete genome
NZ_CP034787.1 Escherichia coli strain ECCNB20-2 chromosome, complete genome
NZ_CP034788.1 Escherichia coli strain ECCNB20-2 plasmid pTBMCR421, complete sequence
NZ_CP034789.1 Escherichia coli strain ECCNB20-2 plasmid pTB422, complete sequence
NZ_CP034790.1 Escherichia coli strain ECCNB20-2 plasmid pTB423, complete sequence
NZ_LR134234.1 Escherichia coli strain NCTC8623 chromosome 1
NZ_CP033378.1 Escherichia coli strain L73 chromosome, complete genome
NZ_CP033379.1 Escherichia coli strain L73 plasmid pL73-2, complete sequence
NZ_CP033380.1 Escherichia coli strain L73 plasmid pL73-3, complete sequence
NZ_CP027562.1 Stenotrophomonas maltophilia strain SJTH1 chromosome, complete genome
NZ_CP043114.1 Bordetella parapertussis strain I308 chromosome, complete genome
NZ_CP023669.1 Methylomonas koyamae strain LM6 chromosome, complete genome
NZ_CP023670.1 Methylomonas koyamae strain LM6 plasmid pLM6, complete sequence
NZ_CP007559.2 Salmonella enterica subsp. enterica serovar Newport str. CDC 2010K-2159 chromosome, complete genome
NZ_CP029882.1 Salmonella enterica subsp. enterica serovar Typhi strain 343076_248190 chromosome, complete genome
NZ_CP050756.1 Salmonella enterica subsp. enterica serovar Indiana strain SI174 chromosome, complete genome
NZ_CP029862.1 Salmonella enterica subsp. enterica serovar Typhi strain 343077_214162 chromosome, complete genome
NZ_CP043227.1 Escherichia coli strain Ec-050 chromosome, complete genome
NZ_CP043228.1 Escherichia coli strain Ec-050 plasmid pEc-050-TEM-30, complete sequence
NZ_CP043229.1 Escherichia coli strain Ec-050 plasmid pEc-050-CMY-2, complete sequence
NZ_CP043230.1 Escherichia coli strain Ec-050 plasmid pEc-050-NDM-5, complete sequence
NZ_CP025676.1 Escherichia albertii strain ChinaSP140150 chromosome, complete genome
NZ_CP025677.1 Escherichia albertii strain ChinaSP140150 plasmid pEA-1, complete sequence
NZ_CP025678.1 Escherichia albertii strain ChinaSP140150 plasmid pEA-2, complete sequence
NZ_CP025679.1 Escherichia albertii strain ChinaSP140150 plasmid pEA-3, complete sequence
NZ_CP022073.1 Citrobacter koseri strain FDAARGOS_287 chromosome, complete genome
NZ_CP022075.1 Citrobacter koseri strain FDAARGOS_287 plasmid unnamed2, complete sequence
NZ_CP007567.1 Aeromonas media WS chromosome, complete genome
NZ_CP007568.1 Aeromonas media WS plasmid pWSY, complete sequence
NZ_LS992185.1 Escherichia coli isolate Escherichia coli str. 3426 chromosome 1
NZ_LS992186.1 Escherichia coli isolate Escherichia coli str. 3426 plasmid 2, complete sequence
NZ_LS992187.1 Escherichia coli isolate Escherichia coli str. 3426 plasmid 3, complete sequence
NZ_LS992188.1 Escherichia coli isolate Escherichia coli str. 3426 plasmid 4, complete sequence
NZ_LS992189.1 Escherichia coli isolate Escherichia coli str. 3426 plasmid 5
NZ_CP047656.1 Paraglaciecola mesophila strain GPM4 chromosome, complete genome
NZ_CP047657.1 Paraglaciecola mesophila strain GPM4 plasmid unnamed
NZ_CP029902.1 Salmonella enterica subsp. enterica serovar Typhi strain 311189_268103 chromosome, complete genome
NZ_CP029903.1 Salmonella enterica subsp. enterica serovar Typhi strain 311189_268103 plasmid pk88, complete sequence
NZ_CP047984.1 Pontibacter sp. BT326 chromosome, complete genome
NZ_CP018940.1 Escherichia coli strain Ecol_224 plasmid pEC224_8, complete sequence
NZ_CP018941.1 Escherichia coli strain Ecol_224 plasmid pEC224_7, complete sequence
NZ_CP018942.1 Escherichia coli strain Ecol_224 plasmid pEC224_6, complete sequence
NZ_CP018943.1 Escherichia coli strain Ecol_224 plasmid pEC224_5, complete sequence
NZ_CP018944.1 Escherichia coli strain Ecol_224 plasmid pEC224_4, complete sequence
NZ_CP018945.1 Escherichia coli strain Ecol_224 plasmid pEC224_KPC, complete sequence
NZ_CP018946.1 Escherichia coli strain Ecol_224 plasmid pEC224_2, complete sequence
NZ_CP018947.1 Escherichia coli strain Ecol_224 plasmid pEC224_1, complete sequence
NZ_CP018948.1 Escherichia coli strain Ecol_224 chromosome, complete genome
NZ_CP012076.1 Bordetella hinzii strain F582 chromosome, complete genome
NZ_CP016819.1 Rhodococcus sp. p52 chromosome, complete genome
NZ_CP016820.1 Rhodococcus sp. p52 plasmid pDF02, complete sequence
NZ_CP016821.1 Rhodococcus sp. p52 plasmid pDF01, complete sequence
NZ_CP016822.1 Rhodococcus sp. p52 plasmid pDF03, complete sequence
NZ_CP014488.1 Escherichia coli strain G749 chromosome, complete genome
NZ_CP014489.1 Escherichia coli strain G749 plasmid pG749_1, complete sequence
NZ_CP014490.1 Escherichia coli strain G749 plasmid pG749_2, complete sequence
NZ_CP014491.1 Escherichia coli strain G749 plasmid pG749_3, complete sequence
NZ_CP011008.1 Bacillus simplex strain SH-B26 chromosome, complete genome
NZ_CP011009.1 Bacillus simplex strain SH-B26 plasmid pSHB26, complete sequence
NC_021810.1 Salmonella enterica subsp. enterica serovar Heidelberg str. 41578, complete sequence
NC_021811.1 Salmonella enterica subsp. enterica serovar Heidelberg str. 41578 plasmid pSEEH1578_01, complete sequence
NC_021841.1 Salmonella enterica subsp. enterica serovar Heidelberg str. 41578 plasmid pSEEH1578_02, complete sequence
NC_021869.1 Salmonella enterica subsp. enterica serovar Heidelberg str. 41578 plasmid pSEEH1578_03, complete sequence
